year,oasdi_employee,hi_employee,total_employee,oasdi_self,hi_self,total_self
1937,0.01,0,0.01,0,0,0
1938,0.01,0,0.01,0,0,0
1939,0.01,0,0.01,0,0,0
1940,0.01,0,0.01,0,0,0
1941,0.01,0,0.01,0,0,0
1942,0.01,0,0.01,0,0,0
1943,0.01,0,0.01,0,0,0
1944,0.01,0,0.01,0,0,0
1945,0.01,0,0.01,0,0,0
1946,0.01,0,0.01,0,0,0
1947,0.01,0,0.01,0,0,0
1948,0.01,0,0.01,0,0,0
1949,0.01,0,0.01,0,0,0
1950,0.015,0,0.015,0,0,0
1951,0.015,0,0.015,0.0225,0,0.0225
1952,0.015,0,0.015,0.0225,0,0.0225
1953,0.015,0,0.015,0.0225,0,0.0225
1954,0.02,0,0.02,0.03,0,0.03
1955,0.02,0,0.02,0.03,0,0.03
1956,0.02,0,0.02,0.03,0,0.03
1957,0.0225,0,0.0225,0.03375,0,0.03375
1958,0.0225,0,0.0225,0.03375,0,0.03375
1959,0.025,0,0.025,0.0375,0,0.0375
1960,0.03,0,0.03,0.045,0,0.045
1961,0.03,0,0.03,0.045,0,0.045
1962,0.03125,0,0.03125,0.047,0,0.047
1963,0.03625,0,0.03625,0.054,0,0.054
1964,0.03625,0,0.03625,0.054,0,0.054
1965,0.03625,0,0.03625,0.054,0,0.054
1966,0.0385,0.0035,0.042,0.058,0.0035,0.0615
1967,0.039,0.005,0.044,0.059,0.005,0.064
1968,0.038,0.006,0.044,0.058,0.006,0.064
1969,0.042,0.006,0.048,0.063,0.006,0.069
1970,0.042,0.006,0.048,0.063,0.006,0.069
1971,0.046,0.006,0.052,0.069,0.006,0.075
1972,0.046,0.006,0.052,0.069,0.006,0.075
1973,0.0485,0.01,0.0585,0.07,0.01,0.08
1974,0.0495,0.009,0.0585,0.07,0.009,0.079
1975,0.0495,0.009,0.0585,0.07,0.009,0.079
1976,0.0495,0.009,0.0585,0.07,0.009,0.079
1977,0.0495,0.009,0.0585,0.07,0.009,0.079
1978,0.0505,0.01,0.0605,0.071,0.01,0.081
1979,0.0508,0.0105,0.0613,0.0705,0.0105,0.081
1980,0.0508,0.0105,0.0613,0.0705,0.0105,0.081
1981,0.0535,0.013,0.0665,0.08,0.013,0.093
1982,0.054,0.013,0.067,0.0805,0.013,0.0935
1983,0.054,0.013,0.067,0.0805,0.013,0.0935
1984,0.057,0.013,0.07,0.114,0.026,0.14
1985,0.057,0.0135,0.0705,0.114,0.027,0.141
1986,0.057,0.0145,0.0715,0.114,0.029,0.143
1987,0.057,0.0145,0.0715,0.114,0.029,0.143
1988,0.0606,0.0145,0.0751,0.1212,0.029,0.1502
1989,0.0606,0.0145,0.0751,0.1212,0.029,0.1502
1990,0.062,0.0145,0.0765,0.124,0.029,0.153
1991,0.062,0.0145,0.0765,0.124,0.029,0.153
1992,0.062,0.0145,0.0765,0.124,0.029,0.153
1993,0.062,0.0145,0.0765,0.124,0.029,0.153
1994,0.062,0.0145,0.0765,0.124,0.029,0.153
1995,0.062,0.0145,0.0765,0.124,0.029,0.153
1996,0.062,0.0145,0.0765,0.124,0.029,0.153
1997,0.062,0.0145,0.0765,0.124,0.029,0.153
1998,0.062,0.0145,0.0765,0.124,0.029,0.153
1999,0.062,0.0145,0.0765,0.124,0.029,0.153
2000,0.062,0.0145,0.0765,0.124,0.029,0.153
2001,0.062,0.0145,0.0765,0.124,0.029,0.153
2002,0.062,0.0145,0.0765,0.124,0.029,0.153
2003,0.062,0.0145,0.0765,0.124,0.029,0.153
2004,0.062,0.0145,0.0765,0.124,0.029,0.153
2005,0.062,0.0145,0.0765,0.124,0.029,0.153
2006,0.062,0.0145,0.0765,0.124,0.029,0.153
2007,0.062,0.0145,0.0765,0.124,0.029,0.153
2008,0.062,0.0145,0.0765,0.124,0.029,0.153
2009,0.062,0.0145,0.0765,0.124,0.029,0.153
2010,0.062,0.0145,0.0765,0.124,0.029,0.153
2011,0.062,0.0145,0.0765,0.124,0.029,0.153
2012,0.062,0.0145,0.0765,0.124,0.029,0.153
2013,0.062,0.0145,0.0765,0.124,0.029,0.153
2014,0.062,0.0145,0.0765,0.124,0.029,0.153
2015,0.062,0.0145,0.0765,0.124,0.029,0.153
2016,0.062,0.0145,0.0765,0.124,0.029,0.153
2017,0.062,0.0145,0.0765,0.124,0.029,0.153
2018,0.062,0.0145,0.0765,0.124,0.029,0.153
2019,0.062,0.0145,0.0765,0.124,0.029,0.153
2020,0.062,0.0145,0.0765,0.124,0.029,0.153
2021,0.062,0.0145,0.0765,0.124,0.029,0.153
2022,0.062,0.0145,0.0765,0.124,0.029,0.153
2023,0.062,0.0145,0.0765,0.124,0.029,0.153
2024,0.062,0.0145,0.0765,0.124,0.029,0.153
2025,0.062,0.0145,0.0765,0.124,0.029,0.153
